26,47,Integra Micro Systems,ORG
0,21,Integra Micro Systems,ORG
0,20,Affiliated Companies,ORG
0,3,CSR,ORG
0,18,Branchless Banking,ORG
0,11,Tab Banking,ORG
0,4,IPMS,ORG
0,3,ICR,ORG
0,7,LoanBOT,ORG
0,7,ChatBOT,ORG
0,10,LogicalDOC,ORG
0,17,News And Opinions,ORG
49,72,Government BFSI Telecom,ORG
0,17,Mahesh Kumar Jain,PER
0,6,Mahesh,PER
37,44,Integra,ORG
73,80,Integra,ORG
0,12,Vimla Jogesh,PER
0,5,Vimla,ORG
53,60,Integra,ORG
120,124,OEMS,ORG
0,5,Vimla,PER
0,41,Ashwin Shankar Head EGovernance Solutions,ORG
0,6,Ashwin,PER
86,97,eGovernance,ORG
171,178,Integra,ORG
17,31,Integra Ashwin,ORG
61,65,HSBC,ORG
69,100,Credit Personal Private Banking,ORG
0,18,Manjunatha HS Head,ORG
0,10,Manjunatha,ORG
109,116,Integra,ORG
0,10,Manjunatha,ORG
92,99,Integra,ORG
0,29,K Sivakkumar Head Engineering,ORG
0,4,Siva,ORG
150,152,RD,ORG
185,192,Integra,ORG
106,110,Siva,ORG
0,41,Bhaskar Jyoti Phukan Head New Initiatives,ORG
0,7,Bhaskar,PER
17,32,Integra Bhaskar,ORG
0,23,Rishi GK Head Materials,ORG
0,5,Rishi,PER
96,109,Integra Rishi,ORG
2,29,Ravi Head Corporate Affairs,ORG
60,64,Ravi,PER
141,145,Ravi,PER
0,4,Ravi,PER
0,16,Sandeep Kasliwal,PER
0,7,Sandeep,PER
76,83,Sandeep,PER
110,117,Integra,ORG
156,182,Commerce Corporate Affairs,ORG
0,12,Rishabh Jain,PER
0,7,Rishabh,ORG
5,19,Krishna Murthy,PER
5,19,Krishna Murthy,PER
26,33,Integra,ORG
194,239,Finance Management Costing General Management,ORG
0,22,Nitin Shantilal Phuria,PER
0,5,Nitin,PER
13,20,Integra,ORG
132,149,Archival Database,ORG
217,224,Integra,ORG
436,439,AUA,ORG
440,443,KUA,ORG
12,17,Nitin,ORG
133,206,Tanzania Revenue Authority DataWarehouse Uganda Communications Commission,ORG
4,19,D K Subramaniam,PER
4,15,Subramaniam,PER
43,67,Indian Institute Science,ORG
252,254,IT,ORG
322,329,Integra,ORG
4,8,Gopi,PER
221,228,Integra,ORG
385,424,Integra Micro Software Services ( P ) Ltd,ORG
4,8,Gopi,PER
36,52,Jataayu Software,ORG
189,209,Comviva Technologies,ORG
262,265,SOA,ORG
404,457,Alumni Association Indian Institute Science Bangalore,ORG
505,507,MS,ORG
528,562,Indian Institute Science Bangalore,ORG
9,16,Integra,ORG
21,25,Gopi,PER
48,75,National Informatics Centre,ORG
77,80,NIC,ORG
82,145,Processor Systems India Canada Centre for Remote Sensing Ottawa,ORG
0,19,Jyoti Sahai Advisor,ORG
0,5,Jyoti,PER
137,142,Jyoti,ORG
151,158,Integra,ORG
225,265,Kavaii Business Analytics India Pvt . Ltd,ORG
40,53,Integra Jyoti,ORG
123,212,Bank India TCS Birla Horizon International IBM Global Services India vMoksha Technologies,ORG
220,243,Deutsche Software India,ORG
22,39,Banking Analytics,ORG
0,22,Raj Kesarimall Advisor,ORG
40,50,IT Telecom,ORG
140,165,India Europe Americas Raj,ORG
26,29,Raj,PER
53,73,Head Europe Americas,ORG
77,97,Comviva Technologies,ORG
222,246,Comviva Technologies Raj,ORG
265,281,Jataayu Software,ORG
378,398,Comviva Technologies,ORG
6,22,Sudhakar Advisor,PER
3,38,Sudhakar Graduate IIT Kharagpur PhD,ORG
58,72,IISc Bangalore,ORG
92,106,Tiger Software,ORG
176,182,Satyam,ORG
301,304,PPP,ORG
358,361,SLA,ORG
3,11,Sudhakar,PER
24,55,Cooptions Technologies Pvt . Ltd,ORG
4,12,Sudhakar,PER
27,53,Namma Bengaluru Foundation,ORG
131,135,RMCS,ORG
0,22,Rajeev Bhagwat Advisor,PER
0,6,Rajeev,PER
15,22,Integra,ORG
95,108,XL Management,ORG
143,150,Integra,ORG
0,20,Affiliated Companies,ORG
0,3,CSR,ORG
0,39,Integra Micro Software Services ( P ) Ltd,ORG
0,51,Mobile Apps Enterprise Solutions Mobile Finance BPM,ORG
0,34,Jakkur Technoparks Private Limited,ORG
0,34,i25 Rural Mobile Commerce Services,ORG
0,34,i25 Rural Mobile Commerce Services,ORG
0,29,Integra Micro Systems ( P ) Ltd,ORG
0,7,Integra,ORG
80,95,Government BFSI,ORG
0,29,Integra Micro Systems ( P ) Ltd,ORG
29,45,Jakkur Bangalore,ORG
0,7,Twitter,ORG
0,8,Facebook,ORG
0,8,Linkedin,ORG
0,51,Select State Andaman Nicobar Islands Andhra Pradesh,ORG
7,36,Integra Micro Systems ( P ) Ltd,ORG
